initial state:
1 | B 
2 | C E 
3 | A D 

it= 0 , queue= 0 , f=g+h= 11 , depth=  0
it= 1 , queue= 5 , f=g+h= 10 , depth=  1
it= 2 , queue= 8 , f=g+h= 7 , depth=  2
it= 3 , queue= 9 , f=g+h= 10 , depth=  3
it= 4 , queue= 10 , f=g+h= 10 , depth=  3
it= 5 , queue= 13 , f=g+h= 9 , depth=  4
it= 6 , queue= 16 , f=g+h= 10 , depth=  4
it= 7 , queue= 17 , f=g+h= 10 , depth=  5
it= 8 , queue= 18 , f=g+h= 10 , depth=  5
it= 9 , queue= 19 , f=g+h= 10 , depth=  5
it= 10 , queue= 20 , f=g+h= 10 , depth=  5
it= 11 , queue= 21 , f=g+h= 10 , depth=  6
it= 12 , queue= 20 , f=g+h= 11 , depth=  2
it= 13 , queue= 21 , f=g+h= 11 , depth=  2
it= 14 , queue= 22 , f=g+h= 8 , depth=  3
it= 15 , queue= 21 , f=g+h= 11 , depth=  2
it= 16 , queue= 22 , f=g+h= 11 , depth=  4
it= 17 , queue= 24 , f=g+h= 10 , depth=  5
it= 18 , queue= 27 , f=g+h= 11 , depth=  4
it= 19 , queue= 30 , f=g+h= 11 , depth=  5
it= 20 , queue= 29 , f=g+h= 11 , depth=  5
it= 21 , queue= 30 , f=g+h= 11 , depth=  6
it= 22 , queue= 29 , f=g+h= 11 , depth=  6
it= 23 , queue= 30 , f=g+h= 11 , depth=  6
it= 24 , queue= 30 , f=g+h= 11 , depth=  6
it= 25 , queue= 31 , f=g+h= 11 , depth=  6
it= 26 , queue= 32 , f=g+h= 12 , depth=  1
it= 27 , queue= 33 , f=g+h= 12 , depth=  1
it= 28 , queue= 34 , f=g+h= 12 , depth=  1
it= 29 , queue= 37 , f=g+h= 9 , depth=  2
it= 30 , queue= 40 , f=g+h= 10 , depth=  3
it= 31 , queue= 43 , f=g+h= 9 , depth=  4
it= 32 , queue= 44 , f=g+h= 10 , depth=  3
it= 33 , queue= 47 , f=g+h= 10 , depth=  3
it= 34 , queue= 48 , f=g+h= 10 , depth=  3
it= 35 , queue= 49 , f=g+h= 10 , depth=  5
it= 36 , queue= 52 , f=g+h= 10 , depth=  5
it= 37 , queue= 53 , f=g+h= 11 , depth=  4
