initial state:
1 | E C 
2 | A D 
3 | B 

it= 109 , queue= 119 , f=g+h= 12 , depth=  7
it= 110 , queue= 118 , f=g+h= 13 , depth=  5
it= 111 , queue= 119 , f=g+h= 13 , depth=  4
it= 112 , queue= 120 , f=g+h= 11 , depth=  5
it= 113 , queue= 121 , f=g+h= 8 , depth=  6
it= 114 , queue= 120 , f=g+h= 12 , depth=  6
it= 115 , queue= 121 , f=g+h= 13 , depth=  6
it= 116 , queue= 124 , f=g+h= 13 , depth=  6
it= 117 , queue= 125 , f=g+h= 13 , depth=  6
it= 118 , queue= 126 , f=g+h= 13 , depth=  6
it= 119 , queue= 127 , f=g+h= 14 , depth=  3
it= 120 , queue= 128 , f=g+h= 14 , depth=  2
it= 121 , queue= 129 , f=g+h= 14 , depth=  7
it= 122 , queue= 131 , f=g+h= 14 , depth=  7
it= 123 , queue= 132 , f=g+h= 14 , depth=  6
it= 124 , queue= 131 , f=g+h= 14 , depth=  4
it= 125 , queue= 132 , f=g+h= 14 , depth=  4
it= 126 , queue= 133 , f=g+h= 14 , depth=  4
it= 127 , queue= 134 , f=g+h= 14 , depth=  7
it= 128 , queue= 135 , f=g+h= 14 , depth=  3
it= 129 , queue= 134 , f=g+h= 14 , depth=  3
it= 130 , queue= 135 , f=g+h= 11 , depth=  4
it= 131 , queue= 136 , f=g+h= 11 , depth=  5
it= 132 , queue= 137 , f=g+h= 12 , depth=  5
it= 133 , queue= 136 , f=g+h= 14 , depth=  3
it= 134 , queue= 135 , f=g+h= 14 , depth=  3
it= 135 , queue= 136 , f=g+h= 14 , depth=  3
it= 136 , queue= 137 , f=g+h= 14 , depth=  3
it= 137 , queue= 138 , f=g+h= 14 , depth=  3
it= 138 , queue= 137 , f=g+h= 14 , depth=  3
it= 139 , queue= 137 , f=g+h= 13 , depth=  4
it= 140 , queue= 138 , f=g+h= 14 , depth=  3
it= 141 , queue= 139 , f=g+h= 14 , depth=  3
it= 142 , queue= 140 , f=g+h= 14 , depth=  3
it= 143 , queue= 141 , f=g+h= 14 , depth=  3
it= 144 , queue= 142 , f=g+h= 14 , depth=  3
it= 145 , queue= 143 , f=g+h= 14 , depth=  3
it= 146 , queue= 144 , f=g+h= 14 , depth=  3
it= 147 , queue= 146 , f=g+h= 14 , depth=  3
it= 148 , queue= 147 , f=g+h= 14 , depth=  3
it= 149 , queue= 148 , f=g+h= 14 , depth=  3
it= 150 , queue= 149 , f=g+h= 13 , depth=  4
it= 151 , queue= 150 , f=g+h= 12 , depth=  5
it= 152 , queue= 151 , f=g+h= 13 , depth=  6
it= 153 , queue= 152 , f=g+h= 13 , depth=  6
it= 154 , queue= 151 , f=g+h= 14 , depth=  3
it= 155 , queue= 152 , f=g+h= 14 , depth=  3
it= 156 , queue= 153 , f=g+h= 14 , depth=  3
it= 157 , queue= 156 , f=g+h= 13 , depth=  4
it= 158 , queue= 157 , f=g+h= 14 , depth=  5
it= 159 , queue= 158 , f=g+h= 14 , depth=  5
it= 160 , queue= 159 , f=g+h= 14 , depth=  5
it= 161 , queue= 158 , f=g+h= 14 , depth=  7
it= 162 , queue= 159 , f=g+h= 14 , depth=  5
it= 163 , queue= 159 , f=g+h= 14 , depth=  5
it= 164 , queue= 160 , f=g+h= 14 , depth=  5
it= 165 , queue= 159 , f=g+h= 14 , depth=  4
it= 166 , queue= 161 , f=g+h= 14 , depth=  7
it= 167 , queue= 163 , f=g+h= 14 , depth=  7
it= 168 , queue= 164 , f=g+h= 14 , depth=  6
it= 169 , queue= 165 , f=g+h= 14 , depth=  6
it= 170 , queue= 166 , f=g+h= 14 , depth=  5
it= 171 , queue= 167 , f=g+h= 11 , depth=  6
it= 172 , queue= 168 , f=g+h= 12 , depth=  7
it= 173 , queue= 168 , f=g+h= 14 , depth=  7
it= 174 , queue= 169 , f=g+h= 14 , depth=  7
it= 175 , queue= 170 , f=g+h= 14 , depth=  7
it= 176 , queue= 172 , f=g+h= 14 , depth=  7
it= 177 , queue= 175 , f=g+h= 14 , depth=  7
it= 178 , queue= 176 , f=g+h= 14 , depth=  7
it= 179 , queue= 177 , f=g+h= 14 , depth=  7
it= 180 , queue= 176 , f=g+h= 14 , depth=  7
it= 181 , queue= 177 , f=g+h= 14 , depth=  7
it= 182 , queue= 176 , f=g+h= 14 , depth=  5
it= 183 , queue= 179 , f=g+h= 13 , depth=  6
it= 184 , queue= 182 , f=g+h= 12 , depth=  7
it= 185 , queue= 183 , f=g+h= 12 , depth=  7
it= 186 , queue= 184 , f=g+h= 13 , depth=  8
it= 187 , queue= 185 , f=g+h= 13 , depth=  8
it= 188 , queue= 184 , f=g+h= 14 , depth=  4
it= 189 , queue= 185 , f=g+h= 14 , depth=  4
it= 190 , queue= 185 , f=g+h= 14 , depth=  5
it= 191 , queue= 188 , f=g+h= 14 , depth=  5
it= 192 , queue= 189 , f=g+h= 14 , depth=  5
it= 193 , queue= 190 , f=g+h= 11 , depth=  6
it= 194 , queue= 189 , f=g+h= 14 , depth=  7
it= 195 , queue= 188 , f=g+h= 14 , depth=  8
it= 196 , queue= 191 , f=g+h= 14 , depth=  7
it= 197 , queue= 192 , f=g+h= 14 , depth=  7
it= 198 , queue= 193 , f=g+h= 14 , depth=  5
it= 199 , queue= 194 , f=g+h= 13 , depth=  6
it= 200 , queue= 193 , f=g+h= 15 , depth=  4
it= 201 , queue= 194 , f=g+h= 15 , depth=  4
it= 202 , queue= 195 , f=g+h= 15 , depth=  4
it= 203 , queue= 197 , f=g+h= 15 , depth=  5
it= 204 , queue= 196 , f=g+h= 15 , depth=  5
it= 205 , queue= 197 , f=g+h= 15 , depth=  7
it= 206 , queue= 200 , f=g+h= 15 , depth=  7
it= 207 , queue= 201 , f=g+h= 13 , depth=  8
it= 208 , queue= 202 , f=g+h= 11 , depth=  9
it= 209 , queue= 203 , f=g+h= 14 , depth=  9
it= 210 , queue= 204 , f=g+h= 14 , depth=  10
it= 211 , queue= 205 , f=g+h= 14 , depth=  10
it= 212 , queue= 206 , f=g+h= 12 , depth=  11
success! depth= 12 , total_goal_tests= 213 , max_queue_size= 206
solution path:
1 | E C 
2 | A D 
3 | B 

1 | E 
2 | A D 
3 | B C 

1 | E D 
2 | A 
3 | B C 

1 | E D 
2 | 
3 | B C A 

1 | E 
2 | D 
3 | B C A 

1 | 
2 | D E 
3 | B C A 

1 | A 
2 | D E 
3 | B C 

1 | A 
2 | D E C 
3 | B 

1 | A B 
2 | D E C 
3 | 

1 | A B C 
2 | D E 
3 | 

1 | A B C 
2 | D 
3 | E 

1 | A B C D 
2 | 
3 | E 

1 | A B C D E 
2 | 
3 | 

