initial state:
1 | B 
2 | C E 
3 | A D 

it= 278 , queue= 264 , f=g+h= 17 , depth=  5
it= 279 , queue= 265 , f=g+h= 17 , depth=  7
it= 280 , queue= 265 , f=g+h= 17 , depth=  5
it= 281 , queue= 265 , f=g+h= 17 , depth=  5
it= 282 , queue= 267 , f=g+h= 17 , depth=  6
it= 283 , queue= 268 , f=g+h= 17 , depth=  7
it= 284 , queue= 267 , f=g+h= 17 , depth=  7
it= 285 , queue= 268 , f=g+h= 17 , depth=  7
it= 286 , queue= 269 , f=g+h= 15 , depth=  8
it= 287 , queue= 270 , f=g+h= 11 , depth=  9
it= 288 , queue= 269 , f=g+h= 17 , depth=  8
it= 289 , queue= 270 , f=g+h= 15 , depth=  9
it= 290 , queue= 269 , f=g+h= 17 , depth=  7
it= 291 , queue= 268 , f=g+h= 17 , depth=  9
it= 292 , queue= 269 , f=g+h= 18 , depth=  4
it= 293 , queue= 269 , f=g+h= 18 , depth=  6
it= 294 , queue= 269 , f=g+h= 18 , depth=  6
it= 295 , queue= 269 , f=g+h= 18 , depth=  6
it= 296 , queue= 270 , f=g+h= 18 , depth=  6
it= 297 , queue= 270 , f=g+h= 18 , depth=  4
it= 298 , queue= 271 , f=g+h= 18 , depth=  6
it= 299 , queue= 271 , f=g+h= 18 , depth=  5
it= 300 , queue= 270 , f=g+h= 18 , depth=  6
it= 301 , queue= 271 , f=g+h= 18 , depth=  6
it= 302 , queue= 270 , f=g+h= 18 , depth=  6
it= 303 , queue= 270 , f=g+h= 18 , depth=  6
it= 304 , queue= 271 , f=g+h= 18 , depth=  4
it= 305 , queue= 272 , f=g+h= 17 , depth=  5
it= 306 , queue= 272 , f=g+h= 18 , depth=  4
it= 307 , queue= 273 , f=g+h= 18 , depth=  4
it= 308 , queue= 273 , f=g+h= 18 , depth=  4
it= 309 , queue= 274 , f=g+h= 18 , depth=  4
it= 310 , queue= 274 , f=g+h= 18 , depth=  6
it= 311 , queue= 274 , f=g+h= 18 , depth=  8
it= 312 , queue= 274 , f=g+h= 18 , depth=  8
it= 313 , queue= 275 , f=g+h= 18 , depth=  6
it= 314 , queue= 276 , f=g+h= 18 , depth=  8
it= 315 , queue= 277 , f=g+h= 18 , depth=  6
it= 316 , queue= 277 , f=g+h= 18 , depth=  3
it= 317 , queue= 276 , f=g+h= 18 , depth=  4
it= 318 , queue= 276 , f=g+h= 18 , depth=  6
it= 319 , queue= 278 , f=g+h= 17 , depth=  7
it= 320 , queue= 279 , f=g+h= 12 , depth=  8
it= 321 , queue= 278 , f=g+h= 17 , depth=  8
it= 322 , queue= 278 , f=g+h= 18 , depth=  8
it= 323 , queue= 279 , f=g+h= 18 , depth=  8
it= 324 , queue= 280 , f=g+h= 18 , depth=  5
it= 325 , queue= 281 , f=g+h= 18 , depth=  3
it= 326 , queue= 282 , f=g+h= 18 , depth=  4
it= 327 , queue= 283 , f=g+h= 18 , depth=  6
it= 328 , queue= 282 , f=g+h= 18 , depth=  8
it= 329 , queue= 283 , f=g+h= 18 , depth=  5
it= 330 , queue= 283 , f=g+h= 18 , depth=  6
it= 331 , queue= 284 , f=g+h= 18 , depth=  5
it= 332 , queue= 283 , f=g+h= 18 , depth=  6
it= 333 , queue= 283 , f=g+h= 18 , depth=  8
it= 334 , queue= 284 , f=g+h= 17 , depth=  9
it= 335 , queue= 285 , f=g+h= 17 , depth=  10
it= 336 , queue= 286 , f=g+h= 18 , depth=  5
it= 337 , queue= 287 , f=g+h= 18 , depth=  6
it= 338 , queue= 286 , f=g+h= 18 , depth=  4
it= 339 , queue= 287 , f=g+h= 18 , depth=  6
it= 340 , queue= 286 , f=g+h= 18 , depth=  7
it= 341 , queue= 287 , f=g+h= 18 , depth=  2
it= 342 , queue= 288 , f=g+h= 17 , depth=  3
it= 343 , queue= 289 , f=g+h= 16 , depth=  4
it= 344 , queue= 290 , f=g+h= 13 , depth=  5
it= 345 , queue= 291 , f=g+h= 13 , depth=  6
it= 346 , queue= 292 , f=g+h= 16 , depth=  6
it= 347 , queue= 291 , f=g+h= 17 , depth=  4
it= 348 , queue= 293 , f=g+h= 15 , depth=  5
it= 349 , queue= 296 , f=g+h= 16 , depth=  6
it= 350 , queue= 297 , f=g+h= 16 , depth=  6
it= 351 , queue= 298 , f=g+h= 16 , depth=  6
it= 352 , queue= 299 , f=g+h= 16 , depth=  7
it= 353 , queue= 300 , f=g+h= 16 , depth=  8
it= 354 , queue= 301 , f=g+h= 17 , depth=  5
it= 355 , queue= 303 , f=g+h= 17 , depth=  7
it= 356 , queue= 304 , f=g+h= 17 , depth=  5
it= 357 , queue= 307 , f=g+h= 17 , depth=  6
it= 358 , queue= 308 , f=g+h= 18 , depth=  4
it= 359 , queue= 308 , f=g+h= 18 , depth=  6
it= 360 , queue= 307 , f=g+h= 18 , depth=  4
it= 361 , queue= 308 , f=g+h= 18 , depth=  6
it= 362 , queue= 311 , f=g+h= 18 , depth=  6
it= 363 , queue= 311 , f=g+h= 16 , depth=  7
it= 364 , queue= 312 , f=g+h= 14 , depth=  8
it= 365 , queue= 311 , f=g+h= 18 , depth=  4
it= 366 , queue= 310 , f=g+h= 18 , depth=  4
it= 367 , queue= 311 , f=g+h= 18 , depth=  6
it= 368 , queue= 313 , f=g+h= 18 , depth=  4
it= 369 , queue= 315 , f=g+h= 17 , depth=  5
it= 370 , queue= 316 , f=g+h= 16 , depth=  6
it= 371 , queue= 317 , f=g+h= 17 , depth=  7
it= 372 , queue= 318 , f=g+h= 17 , depth=  7
it= 373 , queue= 321 , f=g+h= 17 , depth=  8
it= 374 , queue= 322 , f=g+h= 17 , depth=  9
it= 375 , queue= 323 , f=g+h= 18 , depth=  4
it= 376 , queue= 323 , f=g+h= 18 , depth=  5
it= 377 , queue= 324 , f=g+h= 16 , depth=  6
it= 378 , queue= 325 , f=g+h= 17 , depth=  7
it= 379 , queue= 326 , f=g+h= 17 , depth=  7
it= 380 , queue= 329 , f=g+h= 17 , depth=  8
it= 381 , queue= 330 , f=g+h= 17 , depth=  9
it= 382 , queue= 331 , f=g+h= 18 , depth=  5
it= 383 , queue= 332 , f=g+h= 18 , depth=  5
it= 384 , queue= 331 , f=g+h= 18 , depth=  7
it= 385 , queue= 332 , f=g+h= 18 , depth=  9
it= 386 , queue= 333 , f=g+h= 18 , depth=  8
it= 387 , queue= 335 , f=g+h= 18 , depth=  7
it= 388 , queue= 335 , f=g+h= 14 , depth=  8
it= 389 , queue= 334 , f=g+h= 18 , depth=  9
it= 390 , queue= 335 , f=g+h= 18 , depth=  6
it= 391 , queue= 338 , f=g+h= 17 , depth=  7
it= 392 , queue= 339 , f=g+h= 17 , depth=  8
it= 393 , queue= 340 , f=g+h= 18 , depth=  6
it= 394 , queue= 341 , f=g+h= 18 , depth=  7
it= 395 , queue= 342 , f=g+h= 18 , depth=  8
it= 396 , queue= 344 , f=g+h= 18 , depth=  9
it= 397 , queue= 345 , f=g+h= 18 , depth=  8
it= 398 , queue= 347 , f=g+h= 18 , depth=  8
it= 399 , queue= 348 , f=g+h= 18 , depth=  7
it= 400 , queue= 348 , f=g+h= 16 , depth=  8
it= 401 , queue= 347 , f=g+h= 18 , depth=  9
it= 402 , queue= 347 , f=g+h= 18 , depth=  7
