initial state:
1 | B 
2 | C E 
3 | A D 

it= 0 , queue= 0 , f=g+h= 11 , depth=  0
it= 1 , queue= 5 , f=g+h= 10 , depth=  1
it= 2 , queue= 8 , f=g+h= 11 , depth=  2
it= 3 , queue= 9 , f=g+h= 11 , depth=  2
it= 4 , queue= 10 , f=g+h= 8 , depth=  3
it= 5 , queue= 9 , f=g+h= 11 , depth=  2
it= 6 , queue= 10 , f=g+h= 12 , depth=  1
it= 7 , queue= 11 , f=g+h= 12 , depth=  1
it= 8 , queue= 12 , f=g+h= 12 , depth=  1
it= 9 , queue= 15 , f=g+h= 9 , depth=  2
it= 10 , queue= 18 , f=g+h= 10 , depth=  3
it= 11 , queue= 21 , f=g+h= 9 , depth=  4
it= 12 , queue= 22 , f=g+h= 10 , depth=  3
it= 13 , queue= 25 , f=g+h= 10 , depth=  3
it= 14 , queue= 26 , f=g+h= 10 , depth=  3
it= 15 , queue= 27 , f=g+h= 10 , depth=  5
it= 16 , queue= 30 , f=g+h= 10 , depth=  5
it= 17 , queue= 31 , f=g+h= 11 , depth=  4
it= 18 , queue= 32 , f=g+h= 11 , depth=  4
it= 19 , queue= 33 , f=g+h= 11 , depth=  4
it= 20 , queue= 34 , f=g+h= 10 , depth=  5
it= 21 , queue= 33 , f=g+h= 11 , depth=  4
it= 22 , queue= 33 , f=g+h= 11 , depth=  4
it= 23 , queue= 34 , f=g+h= 11 , depth=  4
it= 24 , queue= 35 , f=g+h= 11 , depth=  4
it= 25 , queue= 37 , f=g+h= 10 , depth=  5
it= 26 , queue= 38 , f=g+h= 11 , depth=  6
it= 27 , queue= 39 , f=g+h= 11 , depth=  6
it= 28 , queue= 38 , f=g+h= 12 , depth=  1
it= 29 , queue= 40 , f=g+h= 12 , depth=  1
it= 30 , queue= 43 , f=g+h= 11 , depth=  2
it= 31 , queue= 44 , f=g+h= 12 , depth=  6
it= 32 , queue= 46 , f=g+h= 12 , depth=  5
it= 33 , queue= 45 , f=g+h= 12 , depth=  5
it= 34 , queue= 46 , f=g+h= 12 , depth=  5
it= 35 , queue= 47 , f=g+h= 12 , depth=  5
it= 36 , queue= 48 , f=g+h= 12 , depth=  5
it= 37 , queue= 49 , f=g+h= 12 , depth=  5
it= 38 , queue= 48 , f=g+h= 12 , depth=  5
it= 39 , queue= 48 , f=g+h= 12 , depth=  5
it= 40 , queue= 49 , f=g+h= 12 , depth=  5
it= 41 , queue= 52 , f=g+h= 11 , depth=  6
it= 42 , queue= 53 , f=g+h= 12 , depth=  3
it= 43 , queue= 53 , f=g+h= 11 , depth=  4
it= 44 , queue= 54 , f=g+h= 12 , depth=  6
it= 45 , queue= 56 , f=g+h= 10 , depth=  7
it= 46 , queue= 57 , f=g+h= 11 , depth=  8
it= 47 , queue= 58 , f=g+h= 11 , depth=  8
it= 48 , queue= 59 , f=g+h= 12 , depth=  6
it= 49 , queue= 61 , f=g+h= 12 , depth=  5
it= 50 , queue= 60 , f=g+h= 13 , depth=  2
it= 51 , queue= 61 , f=g+h= 12 , depth=  3
it= 52 , queue= 62 , f=g+h= 9 , depth=  4
it= 53 , queue= 63 , f=g+h= 12 , depth=  3
it= 54 , queue= 62 , f=g+h= 12 , depth=  5
it= 55 , queue= 65 , f=g+h= 11 , depth=  6
it= 56 , queue= 68 , f=g+h= 12 , depth=  5
it= 57 , queue= 69 , f=g+h= 12 , depth=  7
it= 58 , queue= 70 , f=g+h= 12 , depth=  7
it= 59 , queue= 71 , f=g+h= 12 , depth=  7
it= 60 , queue= 72 , f=g+h= 12 , depth=  7
it= 61 , queue= 73 , f=g+h= 12 , depth=  8
it= 62 , queue= 74 , f=g+h= 13 , depth=  2
it= 63 , queue= 75 , f=g+h= 13 , depth=  2
it= 64 , queue= 76 , f=g+h= 10 , depth=  3
it= 65 , queue= 77 , f=g+h= 11 , depth=  4
it= 66 , queue= 78 , f=g+h= 11 , depth=  4
it= 67 , queue= 77 , f=g+h= 13 , depth=  2
it= 68 , queue= 78 , f=g+h= 13 , depth=  2
it= 69 , queue= 81 , f=g+h= 13 , depth=  6
it= 70 , queue= 82 , f=g+h= 13 , depth=  5
it= 71 , queue= 81 , f=g+h= 13 , depth=  7
