initial state:
1 | B 
2 | C E 
3 | A D 

it= 167 , queue= 336 , depth=  4
it= 168 , queue= 338 , depth=  4
it= 169 , queue= 341 , depth=  4
it= 170 , queue= 344 , depth=  4
it= 171 , queue= 347 , depth=  4
it= 172 , queue= 348 , depth=  5
it= 173 , queue= 350 , depth=  5
it= 174 , queue= 352 , depth=  5
it= 175 , queue= 354 , depth=  5
it= 176 , queue= 356 , depth=  5
it= 177 , queue= 356 , depth=  5
it= 178 , queue= 358 , depth=  5
it= 179 , queue= 360 , depth=  5
it= 180 , queue= 362 , depth=  5
it= 181 , queue= 364 , depth=  5
it= 182 , queue= 367 , depth=  5
it= 183 , queue= 367 , depth=  5
it= 184 , queue= 367 , depth=  5
it= 185 , queue= 369 , depth=  5
it= 186 , queue= 371 , depth=  5
it= 187 , queue= 375 , depth=  5
it= 188 , queue= 377 , depth=  5
it= 189 , queue= 377 , depth=  5
it= 190 , queue= 379 , depth=  5
it= 191 , queue= 381 , depth=  5
it= 192 , queue= 383 , depth=  5
it= 193 , queue= 385 , depth=  5
it= 194 , queue= 389 , depth=  5
it= 195 , queue= 391 , depth=  5
it= 196 , queue= 395 , depth=  5
it= 197 , queue= 399 , depth=  5
it= 198 , queue= 399 , depth=  5
it= 199 , queue= 401 , depth=  5
it= 200 , queue= 403 , depth=  5
it= 201 , queue= 405 , depth=  5
it= 202 , queue= 407 , depth=  5
it= 203 , queue= 409 , depth=  5
it= 204 , queue= 413 , depth=  5
it= 205 , queue= 415 , depth=  5
it= 206 , queue= 415 , depth=  5
it= 207 , queue= 419 , depth=  5
it= 208 , queue= 423 , depth=  5
it= 209 , queue= 423 , depth=  5
it= 210 , queue= 425 , depth=  5
it= 211 , queue= 429 , depth=  5
it= 212 , queue= 429 , depth=  5
it= 213 , queue= 431 , depth=  5
it= 214 , queue= 432 , depth=  5
it= 215 , queue= 434 , depth=  5
it= 216 , queue= 436 , depth=  5
it= 217 , queue= 438 , depth=  5
it= 218 , queue= 438 , depth=  5
it= 219 , queue= 440 , depth=  5
it= 220 , queue= 442 , depth=  5
it= 221 , queue= 446 , depth=  5
it= 222 , queue= 448 , depth=  5
it= 223 , queue= 450 , depth=  5
it= 224 , queue= 452 , depth=  5
it= 225 , queue= 454 , depth=  5
it= 226 , queue= 454 , depth=  5
it= 227 , queue= 456 , depth=  5
it= 228 , queue= 458 , depth=  5
it= 229 , queue= 460 , depth=  5
it= 230 , queue= 462 , depth=  5
it= 231 , queue= 464 , depth=  5
it= 232 , queue= 466 , depth=  5
it= 233 , queue= 468 , depth=  5
it= 234 , queue= 471 , depth=  5
it= 235 , queue= 475 , depth=  5
it= 236 , queue= 477 , depth=  5
it= 237 , queue= 479 , depth=  5
it= 238 , queue= 481 , depth=  5
it= 239 , queue= 484 , depth=  5
it= 240 , queue= 486 , depth=  5
it= 241 , queue= 486 , depth=  5
it= 242 , queue= 486 , depth=  5
it= 243 , queue= 488 , depth=  5
it= 244 , queue= 491 , depth=  5
it= 245 , queue= 493 , depth=  5
it= 246 , queue= 493 , depth=  5
it= 247 , queue= 495 , depth=  5
it= 248 , queue= 497 , depth=  5
it= 249 , queue= 501 , depth=  5
it= 250 , queue= 502 , depth=  5
it= 251 , queue= 503 , depth=  5
it= 252 , queue= 504 , depth=  5
it= 253 , queue= 506 , depth=  5
it= 254 , queue= 508 , depth=  5
it= 255 , queue= 509 , depth=  5
it= 256 , queue= 511 , depth=  5
it= 257 , queue= 513 , depth=  5
it= 258 , queue= 515 , depth=  5
it= 259 , queue= 517 , depth=  5
