initial state:
1 | B 
2 | C E 
3 | A D 

it= 109 , queue= 138 , f=g+h= 9 , depth=  4
it= 110 , queue= 141 , f=g+h= 9 , depth=  4
it= 111 , queue= 142 , f=g+h= 9 , depth=  4
it= 112 , queue= 144 , f=g+h= 9 , depth=  4
it= 113 , queue= 143 , f=g+h= 9 , depth=  4
it= 114 , queue= 143 , f=g+h= 9 , depth=  4
it= 115 , queue= 144 , f=g+h= 9 , depth=  4
it= 116 , queue= 146 , f=g+h= 9 , depth=  4
it= 117 , queue= 146 , f=g+h= 9 , depth=  4
it= 118 , queue= 145 , f=g+h= 9 , depth=  4
it= 119 , queue= 148 , f=g+h= 9 , depth=  4
it= 120 , queue= 151 , f=g+h= 9 , depth=  4
it= 121 , queue= 152 , f=g+h= 9 , depth=  4
it= 122 , queue= 152 , f=g+h= 9 , depth=  4
it= 123 , queue= 152 , f=g+h= 9 , depth=  4
it= 124 , queue= 152 , f=g+h= 9 , depth=  4
it= 125 , queue= 153 , f=g+h= 9 , depth=  4
it= 126 , queue= 153 , f=g+h= 9 , depth=  4
it= 127 , queue= 152 , f=g+h= 9 , depth=  4
it= 128 , queue= 151 , f=g+h= 9 , depth=  4
it= 129 , queue= 152 , f=g+h= 9 , depth=  4
it= 130 , queue= 153 , f=g+h= 9 , depth=  4
it= 131 , queue= 152 , f=g+h= 9 , depth=  4
it= 132 , queue= 152 , f=g+h= 9 , depth=  4
it= 133 , queue= 153 , f=g+h= 9 , depth=  4
it= 134 , queue= 155 , f=g+h= 9 , depth=  4
it= 135 , queue= 156 , f=g+h= 9 , depth=  4
it= 136 , queue= 155 , f=g+h= 9 , depth=  4
it= 137 , queue= 156 , f=g+h= 9 , depth=  4
it= 138 , queue= 157 , f=g+h= 9 , depth=  4
it= 139 , queue= 157 , f=g+h= 9 , depth=  4
it= 140 , queue= 157 , f=g+h= 9 , depth=  4
it= 141 , queue= 158 , f=g+h= 9 , depth=  4
it= 142 , queue= 159 , f=g+h= 9 , depth=  4
it= 143 , queue= 161 , f=g+h= 9 , depth=  4
it= 144 , queue= 162 , f=g+h= 9 , depth=  4
it= 145 , queue= 163 , f=g+h= 9 , depth=  4
it= 146 , queue= 163 , f=g+h= 9 , depth=  4
it= 147 , queue= 166 , f=g+h= 9 , depth=  4
it= 148 , queue= 169 , f=g+h= 9 , depth=  4
it= 149 , queue= 172 , f=g+h= 9 , depth=  4
it= 150 , queue= 172 , f=g+h= 9 , depth=  4
it= 151 , queue= 171 , f=g+h= 9 , depth=  4
it= 152 , queue= 172 , f=g+h= 9 , depth=  4
it= 153 , queue= 171 , f=g+h= 9 , depth=  4
it= 154 , queue= 171 , f=g+h= 9 , depth=  4
it= 155 , queue= 170 , f=g+h= 9 , depth=  4
it= 156 , queue= 170 , f=g+h= 9 , depth=  4
it= 157 , queue= 170 , f=g+h= 9 , depth=  4
it= 158 , queue= 170 , f=g+h= 9 , depth=  4
it= 159 , queue= 169 , f=g+h= 9 , depth=  4
it= 160 , queue= 170 , f=g+h= 9 , depth=  4
it= 161 , queue= 169 , f=g+h= 9 , depth=  4
it= 162 , queue= 170 , f=g+h= 9 , depth=  4
it= 163 , queue= 171 , f=g+h= 9 , depth=  4
it= 164 , queue= 172 , f=g+h= 9 , depth=  4
it= 165 , queue= 171 , f=g+h= 9 , depth=  4
it= 166 , queue= 172 , f=g+h= 9 , depth=  4
it= 167 , queue= 174 , f=g+h= 9 , depth=  4
it= 168 , queue= 175 , f=g+h= 9 , depth=  4
it= 169 , queue= 176 , f=g+h= 9 , depth=  4
it= 170 , queue= 175 , f=g+h= 9 , depth=  4
it= 171 , queue= 175 , f=g+h= 9 , depth=  4
it= 172 , queue= 175 , f=g+h= 9 , depth=  4
it= 173 , queue= 175 , f=g+h= 9 , depth=  4
it= 174 , queue= 176 , f=g+h= 9 , depth=  4
it= 175 , queue= 177 , f=g+h= 9 , depth=  4
it= 176 , queue= 178 , f=g+h= 9 , depth=  4
it= 177 , queue= 179 , f=g+h= 9 , depth=  4
it= 178 , queue= 181 , f=g+h= 9 , depth=  4
it= 179 , queue= 183 , f=g+h= 9 , depth=  4
it= 180 , queue= 185 , f=g+h= 9 , depth=  4
it= 181 , queue= 185 , f=g+h= 9 , depth=  5
it= 182 , queue= 184 , f=g+h= 9 , depth=  5
it= 183 , queue= 183 , f=g+h= 9 , depth=  5
it= 184 , queue= 184 , f=g+h= 9 , depth=  5
it= 185 , queue= 185 , f=g+h= 9 , depth=  5
it= 186 , queue= 186 , f=g+h= 9 , depth=  5
it= 187 , queue= 187 , f=g+h= 9 , depth=  5
it= 188 , queue= 188 , f=g+h= 9 , depth=  5
it= 189 , queue= 189 , f=g+h= 9 , depth=  5
it= 190 , queue= 191 , f=g+h= 9 , depth=  5
it= 191 , queue= 192 , f=g+h= 9 , depth=  5
it= 192 , queue= 193 , f=g+h= 9 , depth=  5
it= 193 , queue= 194 , f=g+h= 9 , depth=  5
it= 194 , queue= 195 , f=g+h= 9 , depth=  5
it= 195 , queue= 195 , f=g+h= 9 , depth=  5
it= 196 , queue= 196 , f=g+h= 9 , depth=  5
it= 197 , queue= 197 , f=g+h= 9 , depth=  5
it= 198 , queue= 198 , f=g+h= 9 , depth=  5
it= 199 , queue= 199 , f=g+h= 9 , depth=  5
it= 200 , queue= 198 , f=g+h= 9 , depth=  5
it= 201 , queue= 199 , f=g+h= 9 , depth=  5
it= 202 , queue= 200 , f=g+h= 9 , depth=  5
it= 203 , queue= 201 , f=g+h= 9 , depth=  5
it= 204 , queue= 202 , f=g+h= 9 , depth=  6
it= 205 , queue= 203 , f=g+h= 9 , depth=  6
it= 206 , queue= 204 , f=g+h= 9 , depth=  6
it= 207 , queue= 205 , f=g+h= 9 , depth=  6
it= 208 , queue= 208 , f=g+h= 9 , depth=  6
it= 209 , queue= 211 , f=g+h= 9 , depth=  6
it= 210 , queue= 212 , f=g+h= 9 , depth=  5
it= 211 , queue= 211 , f=g+h= 9 , depth=  5
it= 212 , queue= 212 , f=g+h= 9 , depth=  5
it= 213 , queue= 213 , f=g+h= 9 , depth=  5
it= 214 , queue= 214 , f=g+h= 9 , depth=  5
it= 215 , queue= 213 , f=g+h= 9 , depth=  5
